,file,speaker,label,file_index,audio_length
55,55.wav,Bill Clinton,bona-fide,55,1.52
56,56.wav,JFK,bona-fide,56,2.19
57,57.wav,Alan Watts,spoof,57,2.87
58,58.wav,Mark Zuckerberg,bona-fide,58,2.28
59,59.wav,Louis C.K.,spoof,59,11.57
60,60.wav,The Notorious B.I.G.,spoof,60,1.93
61,61.wav,Alec Guinness,spoof,61,7.04
62,62.wav,Ronald Reagan,spoof,62,3.04
63,63.wav,Ayn Rand,spoof,63,4.85
64,64.wav,Ayn Rand,bona-fide,64,4.33
65,65.wav,Mark Zuckerberg,spoof,65,7.88
66,66.wav,Barack Obama,bona-fide,66,1.51
67,67.wav,Bernie Sanders,bona-fide,67,3.76
68,68.wav,Bernie Sanders,spoof,68,1.75
69,69.wav,Bernie Sanders,spoof,69,5.12
70,70.wav,Alan Watts,bona-fide,70,1.94
71,71.wav,Jimmy Carter,bona-fide,71,3.17
72,72.wav,Barack Obama,bona-fide,72,6.7
73,73.wav,Bill Clinton,bona-fide,73,1.18
74,74.wav,Christopher Hitchens,bona-fide,74,1.82
75,75.wav,Winston Churchill,bona-fide,75,1.91
76,76.wav,Bill Clinton,spoof,76,2.88
77,77.wav,Alec Guinness,bona-fide,77,1.23
78,78.wav,Dwight Eisenhower,bona-fide,78,1.82
79,79.wav,2Pac,spoof,79,2.35
80,80.wav,Donald Trump,bona-fide,80,5.37
81,81.wav,Bernie Sanders,spoof,81,1.92
82,82.wav,Alec Guinness,bona-fide,82,9.57
83,83.wav,Bill Clinton,bona-fide,83,2.51
84,84.wav,Bernie Sanders,bona-fide,84,2.67
85,85.wav,Bernie Sanders,bona-fide,85,7.64
86,86.wav,Alec Guinness,bona-fide,86,1.6
87,87.wav,Alec Guinness,bona-fide,87,2.89
88,88.wav,Ronald Reagan,bona-fide,88,2.31
89,89.wav,Barack Obama,bona-fide,89,4.11
90,90.wav,Donald Trump,bona-fide,90,3.17
91,91.wav,Bill Clinton,spoof,91,2.8
92,92.wav,Mitch Hedberg,spoof,92,2.54
93,93.wav,Ayn Rand,bona-fide,93,2.15
94,94.wav,Barack Obama,bona-fide,94,3.23
95,95.wav,Bill Clinton,bona-fide,95,3.37
96,96.wav,Alec Guinness,bona-fide,96,1.28
97,97.wav,Barack Obama,bona-fide,97,5.09
98,98.wav,Bernie Sanders,bona-fide,98,13.76
99,99.wav,Bill Burr,bona-fide,99,1.98
100,100.wav,Alexandria Ocasio-Cortez,bona-fide,100,2.88
101,101.wav,Christopher Hitchens,spoof,101,1.91
102,102.wav,Milton Friedman,bona-fide,102,4.77
103,103.wav,Bernie Sanders,spoof,103,7.61
104,104.wav,Bernie Sanders,bona-fide,104,3.44
105,105.wav,Christopher Hitchens,bona-fide,105,2.9
106,106.wav,FDR,bona-fide,106,5.05
107,107.wav,Alec Guinness,spoof,107,5.36
108,108.wav,Donald Trump,bona-fide,108,1.72
109,109.wav,Arnold Schwarzenegger,bona-fide,109,1.97
110,110.wav,Milton Friedman,spoof,110,3.4
111,111.wav,Barack Obama,bona-fide,111,2.63
112,112.wav,Barack Obama,bona-fide,112,4.06
113,113.wav,Donald Trump,bona-fide,113,15.28
114,114.wav,Ayn Rand,spoof,114,1.52
115,115.wav,Bill Clinton,bona-fide,115,1.22
116,116.wav,FDR,spoof,116,4.98
117,117.wav,Alan Watts,spoof,117,1.25
118,118.wav,Bernie Sanders,spoof,118,3.06
119,119.wav,Barack Obama,bona-fide,119,4.67
120,120.wav,Barack Obama,bona-fide,120,2.23
121,121.wav,Ayn Rand,bona-fide,121,1.27
122,122.wav,FDR,spoof,122,2.71
123,123.wav,Donald Trump,bona-fide,123,1.87
124,124.wav,Barack Obama,bona-fide,124,2.89
125,125.wav,Donald Trump,bona-fide,125,1.39
126,126.wav,Mitch Hedberg,spoof,126,11.88
127,127.wav,George W. Bush,spoof,127,5.24
128,128.wav,Alan Watts,spoof,128,4.47
129,129.wav,Milton Friedman,bona-fide,129,6.2
130,130.wav,Bernie Sanders,bona-fide,130,1.58
131,131.wav,Bill Clinton,bona-fide,131,2.8
132,132.wav,JFK,spoof,132,3.88
133,133.wav,Barack Obama,bona-fide,133,1.2
134,134.wav,Donald Trump,bona-fide,134,9.07
135,135.wav,Bernie Sanders,spoof,135,1.43
136,136.wav,Alec Guinness,spoof,136,7.23
137,137.wav,Bill Clinton,bona-fide,137,2.7
138,138.wav,Donald Trump,spoof,138,23.3
139,139.wav,Bernie Sanders,spoof,139,8.28
140,140.wav,Alec Guinness,bona-fide,140,4.24
141,141.wav,Mark Zuckerberg,bona-fide,141,3.65
142,142.wav,Mark Zuckerberg,bona-fide,142,5.43
143,143.wav,Ayn Rand,bona-fide,143,4.63
144,144.wav,Queen Elizabeth II,spoof,144,1.85
145,145.wav,Barack Obama,bona-fide,145,1.91
146,146.wav,The Notorious B.I.G.,spoof,146,1.06
147,147.wav,Alec Guinness,bona-fide,147,1.7
148,148.wav,Jerry Seinfeld,spoof,148,4.03
149,149.wav,Martin Luther King,bona-fide,149,0.88
150,150.wav,Queen Elizabeth II,spoof,150,3.28
151,151.wav,Martin Luther King,bona-fide,151,2.69
152,152.wav,Christopher Hitchens,bona-fide,152,1.88
153,153.wav,2Pac,spoof,153,1.03
154,154.wav,Winston Churchill,bona-fide,154,1.96
155,155.wav,Alec Guinness,spoof,155,7.92
156,156.wav,Martin Luther King,bona-fide,156,3.09
157,157.wav,Bill Clinton,bona-fide,157,3.75
158,158.wav,Donald Trump,bona-fide,158,11.58
159,159.wav,Bernie Sanders,spoof,159,4.56
160,160.wav,Martin Luther King,bona-fide,160,1.58
161,161.wav,Donald Trump,bona-fide,161,1.98
162,162.wav,Donald Trump,bona-fide,162,3.74
163,163.wav,Alec Guinness,spoof,163,2.41
164,164.wav,Barack Obama,bona-fide,164,2.14
165,165.wav,George W. Bush,spoof,165,8.66
166,166.wav,Alec Guinness,bona-fide,166,1.7
167,167.wav,Ayn Rand,bona-fide,167,5.03
168,168.wav,Alec Guinness,bona-fide,168,6.98
169,169.wav,Ayn Rand,bona-fide,169,2.64
170,170.wav,Tucker Carlson,spoof,170,3.02
171,171.wav,Donald Trump,bona-fide,171,3.93
172,172.wav,Ayn Rand,spoof,172,6.25
173,173.wav,Christopher Hitchens,bona-fide,173,1.31
174,174.wav,Alec Guinness,spoof,174,14.88
175,175.wav,Nelson Mandela,spoof,175,1.04
176,176.wav,Barack Obama,bona-fide,176,1.48
177,177.wav,JFK,bona-fide,177,1.96
178,178.wav,Ronald Reagan,bona-fide,178,5.46
179,179.wav,Ayn Rand,spoof,179,7.35
180,180.wav,Donald Trump,bona-fide,180,4.25
181,181.wav,Christopher Hitchens,bona-fide,181,4.22
182,182.wav,Ayn Rand,spoof,182,15.07
183,183.wav,Bernie Sanders,bona-fide,183,2.46
184,184.wav,Barack Obama,spoof,184,1.53
185,185.wav,Winston Churchill,bona-fide,185,4.9
186,186.wav,Alec Guinness,spoof,186,2.46
187,187.wav,Bernie Sanders,bona-fide,187,1.27
188,188.wav,Milton Friedman,spoof,188,7.98
189,189.wav,Bernie Sanders,bona-fide,189,1.32
190,190.wav,Barack Obama,spoof,190,4.53
191,191.wav,Mark Zuckerberg,spoof,191,4.82
192,192.wav,Winston Churchill,bona-fide,192,2.06
193,193.wav,The Notorious B.I.G.,spoof,193,1.58
194,194.wav,Bernie Sanders,bona-fide,194,5.52
195,195.wav,Barack Obama,bona-fide,195,0.83
196,196.wav,Bernie Sanders,bona-fide,196,6.55
197,197.wav,Barack Obama,bona-fide,197,5.03
198,198.wav,Bernie Sanders,bona-fide,198,1.25
199,199.wav,Barack Obama,bona-fide,199,1.99
200,200.wav,Donald Trump,bona-fide,200,3.13
201,201.wav,Donald Trump,bona-fide,201,3.14
202,202.wav,Ayn Rand,bona-fide,202,1.59
203,203.wav,Barack Obama,bona-fide,203,1.75
204,204.wav,Donald Trump,bona-fide,204,2.69
205,205.wav,Donald Trump,bona-fide,205,2.87
206,206.wav,Ayn Rand,bona-fide,206,4.34
207,207.wav,Jerry Seinfeld,spoof,207,1.32
208,208.wav,Bernie Sanders,bona-fide,208,2.76
209,209.wav,Nelson Mandela,spoof,209,2.59
210,210.wav,Alec Guinness,bona-fide,210,2.47
211,211.wav,Ronald Reagan,spoof,211,4.55
212,212.wav,Ronald Reagan,bona-fide,212,6.45
213,213.wav,FDR,bona-fide,213,2.26
214,214.wav,George W. Bush,spoof,214,2.09
215,215.wav,Alec Guinness,spoof,215,7.96
216,216.wav,Mark Zuckerberg,bona-fide,216,2.2
217,217.wav,Richard Nixon,bona-fide,217,1.78
218,218.wav,Donald Trump,bona-fide,218,2.01
219,219.wav,Donald Trump,bona-fide,219,6.09
220,220.wav,Ronald Reagan,bona-fide,220,3.09
221,221.wav,Richard Nixon,bona-fide,221,5.03
222,222.wav,Donald Trump,bona-fide,222,4.91
223,223.wav,Barack Obama,bona-fide,223,10.51
224,224.wav,John Cleese,spoof,224,14.42
225,225.wav,Bill Clinton,spoof,225,2.62
226,226.wav,Nelson Mandela,spoof,226,2.18
227,227.wav,Barack Obama,bona-fide,227,4.15
228,228.wav,Alec Guinness,bona-fide,228,3.46
229,229.wav,The Notorious B.I.G.,spoof,229,1.83
230,230.wav,Christopher Hitchens,bona-fide,230,3.92
231,231.wav,Frank Sinatra,spoof,231,6.47
232,232.wav,Alexandria Ocasio-Cortez,bona-fide,232,1.11
233,233.wav,Louis Farrakhan,bona-fide,233,2.34
234,234.wav,Winston Churchill,bona-fide,234,3.93
235,235.wav,Christopher Hitchens,bona-fide,235,3.97
236,236.wav,Alec Guinness,spoof,236,1.48
237,237.wav,Christopher Hitchens,bona-fide,237,4.08
238,238.wav,Bill Clinton,bona-fide,238,4.61
239,239.wav,Louis Farrakhan,bona-fide,239,3.16
240,240.wav,JFK,bona-fide,240,2.13
241,241.wav,Ronald Reagan,bona-fide,241,1.92
242,242.wav,Ayn Rand,bona-fide,242,1.66
243,243.wav,Donald Trump,bona-fide,243,2.92
244,244.wav,Barack Obama,bona-fide,244,4.87
245,245.wav,Ronald Reagan,bona-fide,245,5.1
246,246.wav,Martin Luther King,spoof,246,5.15
247,247.wav,Norm MacDonald,bona-fide,247,5.71
248,248.wav,Christopher Hitchens,bona-fide,248,1.95
249,249.wav,Alec Guinness,bona-fide,249,2.52
250,250.wav,Donald Trump,bona-fide,250,4.22
251,251.wav,Barack Obama,spoof,251,5.22
252,252.wav,Queen Elizabeth II,bona-fide,252,0.75
253,253.wav,Alexandria Ocasio-Cortez,spoof,253,5.52
254,254.wav,Bernie Sanders,bona-fide,254,2.57
255,255.wav,Alec Guinness,bona-fide,255,3.22
256,256.wav,Winston Churchill,bona-fide,256,1.55
257,257.wav,Richard Nixon,spoof,257,7.38
258,258.wav,Barack Obama,bona-fide,258,2.56
259,259.wav,Bernie Sanders,bona-fide,259,2.17
260,260.wav,Donald Trump,bona-fide,260,3.85
261,261.wav,Alec Guinness,spoof,261,2.34
262,262.wav,Arnold Schwarzenegger,bona-fide,262,1.72
263,263.wav,Ayn Rand,bona-fide,263,7.37
264,264.wav,Gilbert Gottfried,bona-fide,264,19.62
265,265.wav,Alec Guinness,spoof,265,5.97
266,266.wav,Bernie Sanders,bona-fide,266,3.96
267,267.wav,Alec Guinness,spoof,267,2.74
268,268.wav,Donald Trump,bona-fide,268,1.99
269,269.wav,Ayn Rand,spoof,269,4.62
270,270.wav,Queen Elizabeth II,spoof,270,5.41
271,271.wav,Ronald Reagan,spoof,271,3.39
272,272.wav,Barack Obama,bona-fide,272,6.47
273,273.wav,Mark Zuckerberg,spoof,273,6.62
274,274.wav,Bill Burr,bona-fide,274,1.94
275,275.wav,Alec Guinness,spoof,275,6.68
276,276.wav,Barack Obama,bona-fide,276,4.67
277,277.wav,Ayn Rand,spoof,277,7.31
278,278.wav,Bill Clinton,spoof,278,10.38
279,279.wav,Donald Trump,bona-fide,279,5.02
280,280.wav,Bernie Sanders,bona-fide,280,2.25
281,281.wav,Barack Obama,bona-fide,281,3.21
282,282.wav,Ayn Rand,spoof,282,5.58
283,283.wav,John Cleese,spoof,283,4.27
284,284.wav,Ayn Rand,bona-fide,284,5.19
285,285.wav,Winston Churchill,spoof,285,9.8
286,286.wav,George Carlin,bona-fide,286,1.64
287,287.wav,Bill Clinton,spoof,287,2.04
288,288.wav,Barack Obama,bona-fide,288,5.04
289,289.wav,Ayn Rand,bona-fide,289,1.25
290,290.wav,Donald Trump,bona-fide,290,7.29
291,291.wav,Winston Churchill,bona-fide,291,2.96
292,292.wav,Bernie Sanders,spoof,292,4.02
293,293.wav,Bernie Sanders,spoof,293,4.92
294,294.wav,Bernie Sanders,spoof,294,2.11
295,295.wav,Dwight Eisenhower,spoof,295,3.67
296,296.wav,Alec Guinness,spoof,296,2.04
297,297.wav,Malcolm X,spoof,297,2.78
298,298.wav,Ayn Rand,bona-fide,298,0.95
299,299.wav,Donald Trump,bona-fide,299,3.07
300,300.wav,Bill Clinton,bona-fide,300,2.28
301,301.wav,Barack Obama,bona-fide,301,2.94
302,302.wav,Alec Guinness,spoof,302,3.09
303,303.wav,Louis Farrakhan,spoof,303,2.25
304,304.wav,Barack Obama,bona-fide,304,3.63
305,305.wav,Martin Luther King,bona-fide,305,6.19
306,306.wav,George Carlin,bona-fide,306,1.41
307,307.wav,Ronald Reagan,spoof,307,4.34
308,308.wav,Ronald Reagan,bona-fide,308,1.72
309,309.wav,Bernie Sanders,bona-fide,309,2.95
310,310.wav,JFK,spoof,310,2.17
311,311.wav,Barack Obama,bona-fide,311,1.77
312,312.wav,Christopher Hitchens,spoof,312,8.14
313,313.wav,Nelson Mandela,bona-fide,313,2.13
314,314.wav,Christopher Hitchens,bona-fide,314,13.32
315,315.wav,Barack Obama,bona-fide,315,1.25
316,316.wav,Bernie Sanders,bona-fide,316,3.61
317,317.wav,Arnold Schwarzenegger,spoof,317,2.6
318,318.wav,Gilbert Gottfried,spoof,318,6.89
319,319.wav,Ronald Reagan,spoof,319,6.7
320,320.wav,FDR,bona-fide,320,3.67
321,321.wav,Christopher Hitchens,bona-fide,321,0.69
322,322.wav,Barack Obama,bona-fide,322,2.58
323,323.wav,Louis Farrakhan,bona-fide,323,3.93
324,324.wav,Barack Obama,spoof,324,9.75
325,325.wav,Barack Obama,bona-fide,325,2.85
326,326.wav,Robert Kardashian,bona-fide,326,2.61
327,327.wav,Barack Obama,bona-fide,327,3.49
328,328.wav,Ronald Reagan,bona-fide,328,4.04
329,329.wav,John Cleese,bona-fide,329,2.67
330,330.wav,Bernie Sanders,bona-fide,330,3.93
331,331.wav,Barack Obama,bona-fide,331,6.83
332,332.wav,Malcolm X,bona-fide,332,1.11
333,333.wav,FDR,bona-fide,333,0.84
334,334.wav,Barack Obama,bona-fide,334,5.02
335,335.wav,Bill Burr,bona-fide,335,5.25
336,336.wav,Robert Kardashian,bona-fide,336,2.16
337,337.wav,Bernie Sanders,bona-fide,337,2.08
338,338.wav,Ronald Reagan,spoof,338,2.7
339,339.wav,Ronald Reagan,spoof,339,5.96
340,340.wav,Ronald Reagan,bona-fide,340,2.1
341,341.wav,Bill Clinton,spoof,341,11.43
342,342.wav,Frank Sinatra,spoof,342,3.78
343,343.wav,Alec Guinness,bona-fide,343,2.56
344,344.wav,Kamala Harris,spoof,344,8.31
345,345.wav,Mark Zuckerberg,bona-fide,345,9.05
346,346.wav,Richard Nixon,spoof,346,3.53
347,347.wav,George W. Bush,spoof,347,2.44
348,348.wav,Donald Trump,bona-fide,348,5.49
349,349.wav,Alec Guinness,spoof,349,11.26
350,350.wav,Winston Churchill,bona-fide,350,1.54
351,351.wav,Bill Clinton,spoof,351,9.65
352,352.wav,Barack Obama,bona-fide,352,3.38
353,353.wav,Orson Welles,spoof,353,3.61
354,354.wav,Martin Luther King,spoof,354,1.95
355,355.wav,Bill Clinton,bona-fide,355,3.02
356,356.wav,Ronald Reagan,bona-fide,356,1.53
357,357.wav,Ronald Reagan,spoof,357,3.91
358,358.wav,Ayn Rand,bona-fide,358,3.56
359,359.wav,Louis Farrakhan,bona-fide,359,2.27
360,360.wav,Barack Obama,bona-fide,360,1.42
361,361.wav,Bill Clinton,spoof,361,2.08
362,362.wav,Bill Clinton,bona-fide,362,4.55
363,363.wav,Barack Obama,bona-fide,363,2.05
364,364.wav,Alexandria Ocasio-Cortez,bona-fide,364,6.65
365,365.wav,Barack Obama,bona-fide,365,8.83
366,366.wav,Bill Clinton,bona-fide,366,3.17
367,367.wav,Winston Churchill,bona-fide,367,2.23
368,368.wav,Arnold Schwarzenegger,spoof,368,5.46
369,369.wav,Barack Obama,bona-fide,369,1.92
370,370.wav,Christopher Hitchens,bona-fide,370,3.47
371,371.wav,Louis Farrakhan,bona-fide,371,2.45
372,372.wav,Alec Guinness,spoof,372,4.71
373,373.wav,Ayn Rand,bona-fide,373,1.22
374,374.wav,Christopher Hitchens,spoof,374,8.33
375,375.wav,Alec Guinness,spoof,375,5.5
376,376.wav,Alec Guinness,bona-fide,376,0.73
377,377.wav,Barack Obama,bona-fide,377,1.38
378,378.wav,Ayn Rand,bona-fide,378,3.56
379,379.wav,Christopher Hitchens,bona-fide,379,1.54
380,380.wav,Alec Guinness,spoof,380,6.52
381,381.wav,Barack Obama,bona-fide,381,1.16
382,382.wav,Arnold Schwarzenegger,bona-fide,382,1.87
383,383.wav,Ronald Reagan,bona-fide,383,3.03
384,384.wav,Donald Trump,bona-fide,384,3.2
385,385.wav,Louis Farrakhan,bona-fide,385,0.87
386,386.wav,Christopher Hitchens,bona-fide,386,1.82
387,387.wav,Alec Guinness,bona-fide,387,4.66
388,388.wav,Barack Obama,bona-fide,388,2.81
389,389.wav,Richard Nixon,bona-fide,389,1.52
390,390.wav,Louis Farrakhan,spoof,390,7.36
391,391.wav,Ronald Reagan,spoof,391,1.91
392,392.wav,Donald Trump,spoof,392,0.78
393,393.wav,Alec Guinness,spoof,393,4.51
394,394.wav,Barack Obama,bona-fide,394,0.9
395,395.wav,Martin Luther King,spoof,395,0.67
396,396.wav,Milton Friedman,bona-fide,396,4.56
397,397.wav,Mark Zuckerberg,spoof,397,9.89
398,398.wav,Bernie Sanders,spoof,398,3.65
399,399.wav,Alec Guinness,spoof,399,12.01
400,400.wav,Donald Trump,bona-fide,400,2.01
401,401.wav,Winston Churchill,bona-fide,401,2.24
402,402.wav,Alan Watts,spoof,402,2.69
403,403.wav,FDR,spoof,403,8.97
404,404.wav,Barack Obama,bona-fide,404,2.17
405,405.wav,Christopher Hitchens,bona-fide,405,5.73
406,406.wav,Donald Trump,bona-fide,406,5.42
407,407.wav,Donald Trump,bona-fide,407,2.62
408,408.wav,2Pac,spoof,408,2.31
409,409.wav,Bernie Sanders,bona-fide,409,3.36
410,410.wav,Boris Johnson,bona-fide,410,1.92
411,411.wav,Donald Trump,bona-fide,411,1.57
412,412.wav,JFK,bona-fide,412,2.96
413,413.wav,Donald Trump,bona-fide,413,2.92
414,414.wav,Dwight Eisenhower,bona-fide,414,2.91
415,415.wav,Christopher Hitchens,bona-fide,415,4.83
416,416.wav,Nelson Mandela,spoof,416,2.08
417,417.wav,Robert Kardashian,bona-fide,417,1.58
418,418.wav,Nick Offerman,bona-fide,418,1.15
419,419.wav,Barack Obama,bona-fide,419,3.95
420,420.wav,Barack Obama,bona-fide,420,9.49
421,421.wav,Bernie Sanders,spoof,421,1.38
422,422.wav,Bernie Sanders,spoof,422,6.99
423,423.wav,Louis Farrakhan,bona-fide,423,3.03
424,424.wav,Bernie Sanders,bona-fide,424,21.44
425,425.wav,George Carlin,bona-fide,425,2.5
426,426.wav,Dwight Eisenhower,bona-fide,426,2.11
427,427.wav,Mark Zuckerberg,spoof,427,5.4
428,428.wav,Barack Obama,bona-fide,428,4.1
429,429.wav,Bernie Sanders,bona-fide,429,3.44
430,430.wav,Alec Guinness,bona-fide,430,1.75
431,431.wav,Donald Trump,bona-fide,431,2.94
432,432.wav,Alan Watts,spoof,432,2.26
433,433.wav,Bob Ross,spoof,433,7.2
434,434.wav,Donald Trump,bona-fide,434,4.59
435,435.wav,JFK,bona-fide,435,3.79
436,436.wav,Mark Zuckerberg,bona-fide,436,10.32
437,437.wav,Boris Johnson,spoof,437,3.66
438,438.wav,Donald Trump,bona-fide,438,2.12
439,439.wav,Tucker Carlson,bona-fide,439,2.1
440,440.wav,Donald Trump,spoof,440,1.96
441,441.wav,Bernie Sanders,spoof,441,2.11
442,442.wav,Gilbert Gottfried,bona-fide,442,5.89
443,443.wav,Arnold Schwarzenegger,spoof,443,3.65
444,444.wav,Nelson Mandela,spoof,444,1.9
445,445.wav,Mark Zuckerberg,spoof,445,1.11
446,446.wav,Bernie Sanders,bona-fide,446,3.97
447,447.wav,Bernie Sanders,bona-fide,447,3.07
448,448.wav,Barack Obama,bona-fide,448,2.51
449,449.wav,Ayn Rand,bona-fide,449,2.53
450,450.wav,Ayn Rand,bona-fide,450,3.93
451,451.wav,Winston Churchill,spoof,451,14.57
452,452.wav,Bernie Sanders,bona-fide,452,2.96
453,453.wav,Donald Trump,bona-fide,453,4.49
454,454.wav,Ronald Reagan,spoof,454,5.4
455,455.wav,Robert Kardashian,bona-fide,455,3.84
456,456.wav,Donald Trump,bona-fide,456,2.1
457,457.wav,Ronald Reagan,spoof,457,4.0
458,458.wav,Christopher Hitchens,bona-fide,458,2.02
459,459.wav,Bernie Sanders,bona-fide,459,2.42
460,460.wav,Martin Luther King,spoof,460,3.98
461,461.wav,Alec Guinness,bona-fide,461,1.78
462,462.wav,Ayn Rand,bona-fide,462,2.99
463,463.wav,Ronald Reagan,spoof,463,2.03
464,464.wav,Bernie Sanders,spoof,464,6.37
465,465.wav,Barack Obama,bona-fide,465,4.19
466,466.wav,Alec Guinness,spoof,466,1.97
467,467.wav,Donald Trump,bona-fide,467,2.15
468,468.wav,Donald Trump,bona-fide,468,13.55
469,469.wav,Barack Obama,bona-fide,469,4.07
470,470.wav,Barack Obama,bona-fide,470,3.48
471,471.wav,Milton Friedman,bona-fide,471,2.44
472,472.wav,Alec Guinness,bona-fide,472,2.21
473,473.wav,Barack Obama,bona-fide,473,4.19
474,474.wav,Donald Trump,spoof,474,6.76
475,475.wav,Christopher Hitchens,bona-fide,475,5.3
476,476.wav,Donald Trump,bona-fide,476,1.43
477,477.wav,Alec Guinness,bona-fide,477,1.22
478,478.wav,Donald Trump,bona-fide,478,2.03
479,479.wav,Bernie Sanders,bona-fide,479,2.1
480,480.wav,Donald Trump,bona-fide,480,4.11
481,481.wav,Alec Guinness,spoof,481,8.46
482,482.wav,Donald Trump,bona-fide,482,4.19
483,483.wav,Barack Obama,bona-fide,483,2.49
484,484.wav,Alec Guinness,spoof,484,4.4
485,485.wav,Bill Clinton,bona-fide,485,1.89
486,486.wav,Ayn Rand,bona-fide,486,2.54
487,487.wav,Alec Guinness,bona-fide,487,0.6
488,488.wav,Alec Guinness,spoof,488,11.31
489,489.wav,Gilbert Gottfried,spoof,489,2.12
490,490.wav,Gilbert Gottfried,spoof,490,8.89
491,491.wav,Norm MacDonald,spoof,491,3.32
492,492.wav,Ronald Reagan,spoof,492,6.28
493,493.wav,Milton Friedman,spoof,493,2.04
494,494.wav,Richard Nixon,spoof,494,1.08
495,495.wav,Bernie Sanders,spoof,495,5.43
496,496.wav,FDR,bona-fide,496,2.0
497,497.wav,Alec Guinness,bona-fide,497,7.15
498,498.wav,Bernie Sanders,bona-fide,498,5.37
499,499.wav,Donald Trump,bona-fide,499,2.59
500,500.wav,Christopher Hitchens,bona-fide,500,5.22
501,501.wav,Christopher Hitchens,bona-fide,501,3.21
502,502.wav,Alec Guinness,spoof,502,3.15
503,503.wav,Bernie Sanders,bona-fide,503,1.9
504,504.wav,Christopher Hitchens,bona-fide,504,2.49
505,505.wav,Milton Friedman,spoof,505,1.08
506,506.wav,Bernie Sanders,bona-fide,506,2.73
507,507.wav,Arnold Schwarzenegger,bona-fide,507,3.05
508,508.wav,Barack Obama,bona-fide,508,2.12
509,509.wav,Gilbert Gottfried,spoof,509,1.86
510,510.wav,Alan Watts,bona-fide,510,5.82
511,511.wav,Bill Burr,bona-fide,511,6.78
512,512.wav,Louis C.K.,spoof,512,4.15
513,513.wav,FDR,bona-fide,513,1.64
514,514.wav,Richard Nixon,spoof,514,1.89
515,515.wav,Bill Clinton,spoof,515,4.59
516,516.wav,JFK,bona-fide,516,1.93
517,517.wav,Donald Trump,bona-fide,517,1.44
518,518.wav,Milton Friedman,bona-fide,518,3.32
519,519.wav,Alec Guinness,spoof,519,7.22
520,520.wav,Barack Obama,bona-fide,520,4.98
521,521.wav,Barack Obama,bona-fide,521,0.66
522,522.wav,Alec Guinness,bona-fide,522,2.52
523,523.wav,Louis Farrakhan,bona-fide,523,2.47
524,524.wav,Barack Obama,bona-fide,524,3.86
525,525.wav,Mark Zuckerberg,spoof,525,7.32
